id,description,category,likelihood,impact,mitigation,owner,status
R001,本机未安装 Flutter 导致无法本地构建 iOS IPA,工具链,高,中,通过 GitHub Actions macOS runner 安装 Flutter 并执行构建,开发者,已缓解
R002,AltStore 会校验 source.json 中声明的权限与 IPA 实际权限是否一致,发布风险,中,高,已在 iOS 设备通过 AltStore 添加源并安装成功；后续变更继续保持 source.json 与 IPA 权限一致,开发者,已缓解
R003,GitHub Pages 未启用或未切到 GitHub Actions 部署会导致 source.json 不可访问,运维,中,中,已通过 gh api 启用 build_type=workflow；workflow 使用 pages 写权限部署,维护者,已缓解
R004,fork 仓库缺少 Android 签名密钥会导致 tag 发布时 Android workflow 失败,CI,高,低,Android workflow 改为有密钥则签名、无密钥则构建未签名 APK artifact,开发者,已缓解
R005,iOS Photos 权限描述与 AltStore source.json 不一致会导致安装或运行异常,发布风险,中,高,Info.plist 注入 NSPhotoLibraryAddUsageDescription/NSPhotoLibraryUsageDescription，并在 AltStore metadata 中同步声明；v0.2.2 source.json 和 IPA 发布资产大小已核对一致,开发者,已缓解
R006,iOS Photos 保存链路需要实机授权和相册写入确认,回归风险,高,高,v0.3.0 已实机确认主页保存与浏览记录保存均进入系统 Photos,用户,已缓解
R007,GitHub Actions Node.js 20 runtime 将被 GitHub runner 淘汰,CI,中,中,跟踪 actions/checkout、configure-pages、deploy-pages、upload-artifact、setup-java 与 softprops/action-gh-release 的 Node.js 24 支持并适时升级,维护者,待处理
R008,频繁打 tag 触发 iOS/Android 发布 CI 会拖慢开发节奏,流程,高,中,中间修复仅本地验证并提交；iOS 保存、筛选发现和收藏完成后已统一跑 v0.3.0 发布 CI,开发者,已缓解
R009,标签预览会一次性拉取多张图片,性能,中,中,预览限制使用 API 返回的 6 张 image_id，并提供失败重试；v0.3.0 已实机确认方向/分类/标签预览可用,开发者,已缓解
R010,侧栏和删除操作依赖隐藏手势或长按导致新用户发现不了核心能力,体验风险,高,中,增加显式筛选入口、首次轻引导、历史和标签的显式管理入口,开发者,待处理
R011,本地额度未独立统计固定图片接口导致标签预览或图集加载可能触发服务端 429,可靠性,中,高,拆分随机/元数据额度桶与固定图片额度桶并让 imageById 全部受控,开发者,待处理
R012,站点标签超过 11 万直接全量拉取会造成移动端内存和弱网压力,性能,高,中,标签浏览采用分页加载、近期缓存和失败重试，避免一次性全量加载,开发者,待处理
R013,图集详情包含外部来源和下载链接可能扩大产品边界并引入不可控外部站点风险,产品边界,中,中,图集页初期只展示站内图片序列、标签和分类，不暴露外部下载入口,维护者,待处理
R014,历史、临时缓存和收藏缓存长期增长但用户没有清理入口,存储风险,中,中,增加设置页展示缓存占用并提供清理历史、清理临时缓存和批量管理收藏,开发者,待处理
R015,方向、分类和排除标签不能作为长期偏好保存会让用户重复设置,体验风险,高,中,增加默认方向、默认分类和常驻排除标签的持久化设置,开发者,待处理
R016,自定义图标按钮和沉浸式布局缺少系统化辅助功能验证,可访问性,中,中,补充 Semantics、动态字体验证、VoiceOver 顺序验证和 iOS haptic,开发者,待处理
R017,旧产品评审和路线图停留在 v0.2.1 阶段会误导后续开发优先级,流程,中,中,已将产品评审和实施路线图更新到 v0.3.0 后阶段,开发者,已缓解
R018,单桶额度迁移到双桶额度可能导致升级后额度状态丢失或误判,兼容性,中,中,保留旧 SharedPreferences 键并首次迁移到 random 桶；单测覆盖迁移,开发者,待处理
R019,首次轻引导如果信息过多会打断沉浸式浏览体验,体验风险,中,中,只出现一次且只讲 5 个核心入口；关闭后持久化,开发者,待处理
R020,标签预览缓存可能积累临时文件占用空间,存储风险,中,中,设置 TTL 和最大标签条目数，淘汰时尽力删除缓存文件,开发者,待处理
R021,图集详情图片分页参数不是普通 limit/offset，误用会重复加载首页图片,接口风险,中,中,实现前固定使用已验证的 image_limit/image_offset 并补解析测试,开发者,待处理
